Name,Age,Season,Transfer_fee,pac,dri,sho,def,pas,phy
Neymar,25,2017-2018,222000000,91,95,84,30,78,56
Kylian Mbapp,19,2018-2019,135000000,90,84,80,47,74,74
Philippe Coutinho,25,2017-2018,125000000,82,87,74,33,82,56
Cristiano Ronaldo,33,2018-2019,117000000,90,90,93,33,82,80
Ousmane Dembele,20,2017-2018,115000000,84,82,72,41,70,52
Paul Pogba,23,2016-2017,105000000,77,86,80,74,82,88
Gareth Bale,24,2013-2014,101000000,92,85,79,74,81,71
Cristiano Ronaldo,24,2009-2010,94000000,94,97,92,31,84,77
Gonzalo Higuain,28,2016-2017,90000000,80,81,84,22,68,71
Neymar,21,2013-2014,88200000,91,91,79,44,74,59
Romelu Lukaku,24,2017-2018,84700000,82,74,82,34,66,84
Luis Suarez,27,2014-2015,81720000,81,90,83,56,75,72
Virgil van Dijk,26,2017-2018,78800000,67,67,61,79,65,83
Zinadine Zidane,29,2001-2002,77500000,82,92,90,72,93,83
Kevin De Bruyne,24,2015-2016,76000000,77,81,80,41,80,69
James Rodríguez,23,2014-2015,75000000,,,,,,
Ángel Di María,26,2014-2015,75000000,,,,,,
Thomas Lemar,22,2018-2019,70000000,,,,,,
Zlatan Ibrahimovic,27,2009-2010,69500000,,,,,,
Riyad Mahrez,27,2018-2019,67800000,,,,,,
Diego Costa,29,2017-2018,66000000,,,,,,
Álvaro Morata,24,2017-2018,66000000,,,,,,
Kaká,27,2009-2010,65000000,,,,,,
Aymeric Laporte,23,2017-2018,65000000,,,,,,
Edinson Cavani,26,2013-2014,64500000,,,,,,
Pierre-Emerick Aubameyang,28,2017-2018,63750000,,,,,,
Raheem Sterling,20,2015-2016,63700000,,,,,,
Ángel Di María,27,2015-2016,63000000,,,,,,
Alisson,25,2018-2019,62500000,,,,,,
Luís Figo,27,2000-2001,60000000,,,,,,
Anthony Martial,19,2015-2016,60000000,,,,,,
Oscar,25,2016-2017,60000000,,,,,,
Naby Keïta,23,2018-2019,60000000,,,,,,
Fred,25,2018-2019,59000000,,,,,,
Fernando Torres,26,2010-2011,58500000,,,,,,
Benjamin Mendy,23,2017-2018,57500000,,,,,,
Jorginho,26,2018-2019,57000000,,,,,,
Hernán Crespo,25,2000-2001,56810000,,,,,,
Hulk,29,2016-2017,55800000,,,,,,
John Stones,22,2016-2017,55600000,,,,,,
Alexandre Lacazette,26,2017-2018,53000000,,,,,,
Gianluigi Buffon,23,2001-2002,52880000,,,,,,
Kyle Walker,27,2017-2018,52700000,,,,,,
Leroy Sané,20,2016-2017,50500000,,,,,,
Alex Teixeira,26,2015-2016,50000000,,,,,,
Bernardo Silva,22,2017-2018,50000000,,,,,,
David Luiz,27,2014-2015,49500000,,,,,,
Gylfi Sigurdsson,27,2017-2018,49400000,,,,,,
Gaizka Mendieta,27,2001-2002,48000000,,,,,,
Mesut Özil,24,2013-2014,47000000,,,,,,
Christian Benteke,24,2015-2016,46500000,,,,,,
Rio Ferdinand,23,2002-2003,46000000,,,,,,
Ronaldo,25,2002-2003,45000000,,,,,,
James Rodríguez,21,2013-2014,45000000,,,,,,
Granit Xhaka,23,2016-2017,45000000,,,,,,
Fabinho,24,2018-2019,45000000,,,,,,
Vinícius Júnior,18,2018-2019,45000000,,,,,,
Juan Mata,25,2013-2014,44730000,,,,,,
Nemanja Matic,29,2017-2018,44700000,,,,,,
Nicolás Otamendi,27,2015-2016,44600000,,,,,,
Andriy Shevchenko,29,2006-2007,43300000,,,,,,
Robinho,24,2008-2009,43000000,,,,,,
Falcao,27,2013-2014,43000000,,,,,,
Julian Draxler,21,2015-2016,43000000,,,,,,
Juan Sebastián Verón,26,2001-2002,42600000,,,,,,
Alexis Sánchez,25,2014-2015,42500000,,,,,,
Rui Costa,29,2001-2002,42000000,,,,,,
Javier Pastore,22,2011-2012,42000000,,,,,,
Thiago Silva,27,2012-2013,42000000,,,,,,
Jackson Martínez,29,2015-2016,42000000,,,,,,
Henrikh Mkhitaryan,27,2016-2017,42000000,,,,,,
Leonardo Bonucci,30,2017-2018,42000000,,,,,,
Mohamed Salah,25,2017-2018,42000000,,,,,,
Lilian Thuram,29,2001-2002,41500000,,,,,,
Corentin Tolisso,22,2017-2018,41500000,,,,,,
Sadio Mané,24,2016-2017,41200000,,,,,,
Andy Carroll,22,2010-2011,41000000,,,,,,
Roberto Firmino,23,2015-2016,41000000,,,,,,
Shkodran Mustafi,24,2016-2017,41000000,,,,,,
Malcom,21,2018-2019,41000000,,,,,,
João Cancelo,24,2018-2019,40400000,,,,,,
Marc Overmars,27,2000-2001,40000000,,,,,,
David Villa,28,2010-2011,40000000,,,,,,
Sergio Agüero,23,2011-2012,40000000,,,,,,
Falcao,25,2011-2012,40000000,,,,,,
Hulk,26,2012-2013,40000000,,,,,,
Lucas Moura,20,2012-2013,40000000,,,,,,
Javi Martínez,24,2012-2013,40000000,,,,,,
Axel Witsel,23,2012-2013,40000000,,,,,,
Fernandinho,28,2013-2014,40000000,,,,,,
Paulo Dybala,21,2015-2016,40000000,,,,,,
João Mário,23,2016-2017,40000000,,,,,,
Julian Draxler,23,2016-2017,40000000,,,,,,
Federico Bernardeschi,23,2017-2018,40000000,,,,,,
Cédric Bakambu,26,2017-2018,40000000,,,,,,
Ederson,23,2017-2018,40000000,,,,,,
Tiemoué Bakayoko,22,2017-2018,40000000,,,,,,
Paulinho,29,2017-2018,40000000,,,,,,
Davinson Sánchez,21,2017-2018,40000000,,,,,,
Douglas Costa,27,2018-2019,40000000,,,,,,
Richarlison,21,2018-2019,39200000,,,,,,
Gonzalo Higuaín,25,2013-2014,39000000,,,,,,
Michy Batshuayi,22,2016-2017,39000000,,,,,,
Pavel Nedved,28,2001-2002,38700000,,,,,,
Didier Drogba,26,2004-2005,38500000,,,,,,
Michael Essien,22,2005-2006,38000000,,,,,,
Fernando Torres,23,2007-2008,38000000,,,,,,
Dimitar Berbatov,27,2008-2009,38000000,,,,,,
Diego Costa,25,2014-2015,38000000,,,,,,
Eric Bailly,22,2016-2017,38000000,,,,,,
André Silva,21,2017-2018,38000000,,,,,,
Alex Oxlade-Chamberlain,24,2017-2018,38000000,,,,,,
Radja Nainggolan,30,2018-2019,38000000,,,,,,
Felipe Anderson,25,2018-2019,38000000,,,,,,
Danny Drinkwater,27,2017-2018,37900000,,,,,,
David Beckham,28,2003-2004,37500000,,,,,,
Luke Shaw,18,2014-2015,37500000,,,,,,
Arturo Vidal,28,2015-2016,37500000,,,,,,
Jackson Martínez,28,2015-2016,37100000,,,,,,
Filippo Inzaghi,27,2001-2002,37000000,,,,,,
Wayne Rooney,18,2004-2005,37000000,,,,,,
Edin Dzeko,24,2010-2011,37000000,,,,,,
Mario Götze,21,2013-2014,37000000,,,,,,
André Gomes,22,2016-2017,37000000,,,,,,
Gabriel Batistuta,31,2000-2001,36150000,,,,,,
Hernán Crespo,27,2002-2003,36000000,,,,,,
Ander Herrera,24,2014-2015,36000000,,,,,,
Geoffrey Kondogbia,22,2015-2016,36000000,,,,,,
Vitolo,27,2017-2018,36000000,,,,,,
Javier Saviola,19,2001-2002,35900000,,,,,,
Clément Lenglet,23,2018-2019,35900000,,,,,,
N'Golo Kanté,25,2016-2017,35800000,,,,,,
Dani Alves,25,2008-2009,35500000,,,,,,
Willian,25,2013-2014,35500000,,,,,,
Romelu Lukaku,21,2014-2015,35360000,,,,,,
Arjen Robben,23,2007-2008,35000000,,,,,,
Karim Benzema,21,2009-2010,35000000,,,,,,
Eden Hazard,21,2012-2013,35000000,,,,,,
Willian,24,2012-2013,35000000,,,,,,
Morgan Schneiderlin,25,2015-2016,35000000,,,,,,
Mats Hummels,27,2016-2017,35000000,,,,,,
David Luiz,29,2016-2017,35000000,,,,,,
Moussa Sissoko,27,2016-2017,35000000,,,,,,
Renato Sanches,18,2016-2017,35000000,,,,,,
Antonio Rüdiger,24,2017-2018,35000000,,,,,,
Victor Lindelöf,22,2017-2018,35000000,,,,,,
Nicolas Anelka,21,2000-2001,34500000,,,,,,
Xabi Alonso,27,2009-2010,34500000,,,,,,
Cesc Fàbregas,24,2011-2012,34000000,,,,,,
Arda Turan,28,2015-2016,34000000,,,,,,
Memphis Depay,21,2015-2016,34000000,,,,,,
Ángel Di María,22,2010-2011,33000000,,,,,,
Cesc Fàbregas,27,2014-2015,33000000,,,,,,
Marouane Fellaini,25,2013-2014,32400000,,,,,,
Wilfried Bony,26,2014-2015,32300000,,,,,,
Ronaldinho,23,2003-2004,32250000,,,,,,
Oscar,20,2012-2013,32000000,,,,,,
Asier Illarramendi,23,2013-2014,32000000,,,,,,
André Schürrle,24,2014-2015,32000000,,,,,,
Miralem Pjanic,26,2016-2017,32000000,,,,,,
Gabriel Jesus,19,2016-2017,32000000,,,,,,
Arkadiusz Milik,22,2016-2017,32000000,,,,,,
Iñigo Martínez,26,2017-2018,32000000,,,,,,
Shaun Wright-Phillips,23,2005-2006,31500000,,,,,,
Anderson,19,2007-2008,31500000,,,,,,
Danilo,23,2015-2016,31500000,,,,,,
Marquinhos,19,2013-2014,31400000,,,,,,
Christian Benteke,25,2016-2017,31200000,,,,,,
Juan Cuadrado,26,2014-2015,31000000,,,,,,
Adam Lallana,26,2014-2015,31000000,,,,,,
Mateo Kovacic,21,2015-2016,31000000,,,,,,
Arthur,21,2018-2019,31000000,,,,,,
Robin van Persie,29,2012-2013,30700000,,,,,,
Nélson Semedo,23,2017-2018,30570000,,,,,,
Alessandro Nesta,26,2002-2003,30500000,,,,,,
Eliaquim Mangala,23,2014-2015,30500000,,,,,,
Islam Slimani,28,2016-2017,30500000,,,,,,
Ricardo Carvalho,26,2004-2005,30000000,,,,,,
Pepe,24,2007-2008,30000000,,,,,,
Franck Ribéry,24,2007-2008,30000000,,,,,,
Danny,25,2008-2009,30000000,,,,,,
Mario Gómez,23,2009-2010,30000000,,,,,,
Yaya Touré,27,2010-2011,30000000,,,,,,
Manuel Neuer,25,2011-2012,30000000,,,,,,
Fábio Coentrão,23,2011-2012,30000000,,,,,,
Luka Modric,26,2012-2013,30000000,,,,,,
Roberto Soldado,28,2013-2014,30000000,,,,,,
Isco,21,2013-2014,30000000,,,,,,
Érik Lamela,21,2013-2014,30000000,,,,,,
Antoine Griezmann,23,2014-2015,30000000,,,,,,
Carlos Bacca,28,2015-2016,30000000,,,,,,
Douglas Costa,24,2015-2016,30000000,,,,,,
Rodrigo,24,2015-2016,30000000,,,,,,
Heung-min Son,23,2015-2016,30000000,,,,,,
Álvaro Morata,23,2016-2017,30000000,,,,,,
Paco Alcácer,23,2016-2017,30000000,,,,,,
Kévin Gameiro,29,2016-2017,30000000,,,,,,
André Schürrle,25,2016-2017,30000000,,,,,,
Gonçalo Guedes,20,2016-2017,30000000,,,,,,
Yannick Carrasco,24,2017-2018,30000000,,,,,,
Keita Baldé,22,2017-2018,30000000,,,,,,
Danilo,26,2017-2018,30000000,,,,,,
Jean Michaël Seri,27,2018-2019,30000000,,,,,,
Lucas Torreira,22,2018-2019,30000000,,,,,,
Aleksandr Golovin,22,2018-2019,30000000,,,,,,
Álvaro Odriozola,22,2018-2019,30000000,,,,,,
Fabián Ruiz,22,2018-2019,30000000,,,,,,
Mario Balotelli,20,2010-2011,29500000,,,,,,
Gabriel Barbosa,20,2016-2017,29500000,,,,,,
Dimitri Payet,29,2016-2017,29300000,,,,,,
Emmanuel Adebayor,25,2009-2010,29000000,,,,,,
Carlos Tévez,25,2009-2010,29000000,,,,,,
Anthony Modeste,30,2018-2019,29000000,,,,,,
Ezequiel Lavezzi,27,2012-2013,28950000,,,,,,
Yannick Bolasie,27,2016-2017,28900000,,,,,,
David Silva,24,2010-2011,28750000,,,,,,
Ruud van Nistelrooy,25,2001-2002,28500000,,,,,,
Antonio Cassano,18,2001-2002,28500000,,,,,,
Michael Keane,24,2017-2018,28500000,,,,,,
Jordan Pickford,23,2017-2018,28500000,,,,,,
Hidetoshi Nakata,24,2001-2002,28400000,,,,,,
Lucas Moura,25,2017-2018,28400000,,,,,,
Mamadou Sakho,27,2017-2018,28200000,,,,,,
Émerson,28,2004-2005,28000000,,,,,,
Medhi Benatia,27,2014-2015,28000000,,,,,,
Ramires,28,2015-2016,28000000,,,,,,
Álvaro Negredo,29,2015-2016,28000000,,,,,,
Abdou Diallo,22,2018-2019,28000000,,,,,,
Kelechi Iheanacho,20,2017-2018,27700000,,,,,,
Joleon Lescott,27,2009-2010,27500000,,,,,,
Samir Nasri,24,2011-2012,27500000,,,,,,
Henrikh Mkhitaryan,24,2013-2014,27500000,,,,,,
Grzegorz Krychowiak,26,2016-2017,27500000,,,,,,
Georginio Wijnaldum,25,2016-2017,27500000,,,,,,
Michael Carrick,25,2006-2007,27200000,,,,,,
Samuel Eto'o,23,2004-2005,27000000,,,,,,
Sergio Ramos,19,2005-2006,27000000,,,,,,
Wesley Sneijder,23,2007-2008,27000000,,,,,,
Klaas-Jan Huntelaar,25,2008-2009,27000000,,,,,,
Diego,24,2009-2010,27000000,,,,,,
Samuel Eto'o,30,2011-2012,27000000,,,,,,
Pedro,28,2015-2016,27000000,,,,,,
Ilkay Gündogan,25,2016-2017,27000000,,,,,,
Davy Klaassen,24,2017-2018,27000000,,,,,,
Milan Skriniar,22,2017-2018,27000000,,,,,,
Juan Mata,23,2011-2012,26700000,,,,,,
Francesco Toldo,29,2001-2002,26500000,,,,,,
Luis Suárez,24,2010-2011,26500000,,,,,,
Rio Ferdinand,22,2000-2001,26000000,,,,,,
Hernán Crespo,28,2003-2004,26000000,,,,,,
Mahamadou Diarra,25,2006-2007,26000000,,,,,,
Alexis Sánchez,22,2011-2012,26000000,,,,,,
Stevan Jovetic,23,2013-2014,26000000,,,,,,
Alex Sandro,24,2015-2016,26000000,,,,,,
Jaap Stam,29,2001-2002,25750000,,,,,,
Márcio Amoroso,27,2001-2002,25500000,,,,,,
Nani,20,2007-2008,25500000,,,,,,
Dejan Lovren,25,2014-2015,25300000,,,,,,
Flávio Conceicao,26,2000-2001,25000000,,,,,,
Savo Milosevic,26,2000-2001,25000000,,,,,,
Stefano Fiore,26,2001-2002,25000000,,,,,,
Marcelo Salas,26,2001-2002,25000000,,,,,,
Wálter Samuel,26,2004-2005,25000000,,,,,,
Michael Owen,25,2005-2006,25000000,,,,,,
Alberto Gilardino,23,2005-2006,25000000,,,,,,
Joaquín,25,2006-2007,25000000,,,,,,
Owen Hargreaves,26,2007-2008,25000000,,,,,,
Ronaldinho,28,2008-2009,25000000,,,,,,
Arjen Robben,25,2009-2010,25000000,,,,,,
Diego Milito,30,2009-2010,25000000,,,,,,
Dmytro Chygrynskiy,22,2009-2010,25000000,,,,,,
Felipe Melo,26,2009-2010,25000000,,,,,,
David Luiz,23,2010-2011,25000000,,,,,,
David de Gea,20,2011-2012,25000000,,,,,,
João Moutinho,26,2013-2014,25000000,,,,,,
Nemanja Matic,25,2013-2014,25000000,,,,,,
Thiago,22,2013-2014,25000000,,,,,,
Álvaro Negredo,27,2013-2014,25000000,,,,,,
Yohan Cabaye,28,2013-2014,25000000,,,,,,
Bernard,20,2013-2014,25000000,,,,,,
Toni Kroos,24,2014-2015,25000000,,,,,,
Enzo Pérez,28,2014-2015,25000000,,,,,,
Lazar Markovic,20,2014-2015,25000000,,,,,,
Stefan Savic,24,2015-2016,25000000,,,,,,
Layvin Kurzawa,22,2015-2016,25000000,,,,,,
Alessio Romagnoli,20,2015-2016,25000000,,,,,,
Nico Gaitán,28,2016-2017,25000000,,,,,,
Samuel Umtiti,22,2016-2017,25000000,,,,,,
Jesé,23,2016-2017,25000000,,,,,,
Youri Tielemans,20,2017-2018,25000000,,,,,,
Andriy Yarmolenko,27,2017-2018,25000000,,,,,,
Serge Aurier,24,2017-2018,25000000,,,,,,
Davide Zappacosta,25,2017-2018,25000000,,,,,,
Geoffrey Kondogbia,25,2018-2019,25000000,,,,,,
Simone Verdi,25,2018-2019,25000000,,,,,,
Issa Diop,21,2018-2019,25000000,,,,,,
Bernd Leno,26,2018-2019,25000000,,,,,,
Jannik Vestergaard,25,2018-2019,25000000,,,,,,
James Maddison,21,2018-2019,25000000,,,,,,
Zlatan Ibrahimovic,24,2006-2007,24800000,,,,,,
Yannick Carrasco,21,2015-2016,24760000,,,,,,
Darren Bent,23,2007-2008,24750000,,,,,,
Javier Pastore,29,2018-2019,24700000,,,,,,
Ricardo Quaresma,24,2008-2009,24600000,,,,,,
Damien Duff,24,2003-2004,24500000,,,,,,
Juan Iturbe,21,2014-2015,24500000,,,,,,
Adrien Silva,28,2017-2018,24500000,,,,,,
Giannelli Imbula,23,2015-2016,24250000,,,,,,
André Ayew,26,2016-2017,24100000,,,,,,
Robinho,21,2005-2006,24000000,,,,,,
Thierry Henry,29,2007-2008,24000000,,,,,,
Alexandre Pato,17,2007-2008,24000000,,,,,,
Robbie Keane,28,2008-2009,24000000,,,,,,
Jô,21,2008-2009,24000000,,,,,,
Lisandro López,26,2009-2010,24000000,,,,,,
Zlatan Ibrahimovic,29,2011-2012,24000000,,,,,,
Ezequiel Garay,29,2016-2017,24000000,,,,,,
Naby Keïta,21,2016-2017,24000000,,,,,,
Theo Hernández,19,2017-2018,24000000,,,,,,
Matías Vecino,25,2017-2018,24000000,,,,,,
Lucas Alario,24,2017-2018,24000000,,,,,,
Andrea Conti,23,2017-2018,24000000,,,,,,
Yuri Berchiche,28,2018-2019,24000000,,,,,,
Aleksandar Kolarov,24,2010-2011,23860000,,,,,,
Adriano,21,2003-2004,23400000,,,,,,
Odion Ighalo,27,2016-2017,23300000,,,,,,
David Trézéguet,22,2000-2001,23240000,,,,,,
Claudio López,25,2000-2001,23000000,,,,,,
Fabio Cannavaro,28,2002-2003,23000000,,,,,,
Santi Cazorla,26,2011-2012,23000000,,,,,,
Sadio Mané,22,2014-2015,23000000,,,,,,
Marcos Alonso,25,2016-2017,23000000,,,,,,
Marko Pjaca,21,2016-2017,23000000,,,,,,
Leandro Paredes,23,2017-2018,23000000,,,,,,
Alassane Pléa,25,2018-2019,23000000,,,,,,
Morgan Schneiderlin,27,2016-2017,22900000,,,,,,
Amauri,28,2008-2009,22800000,,,,,,
Stewart Downing,26,2011-2012,22800000,,,,,,
André Ayew,28,2017-2018,22800000,,,,,,
Nathan Aké,22,2017-2018,22800000,,,,,,
Jimmy Floyd Hasselbaink,28,2000-2001,22500000,,,,,,
Clarence Seedorf,26,2002-2003,22500000,,,,,,
Francesco Coco,25,2002-2003,22500000,,,,,,
Javier Mascherano,24,2008-2009,22500000,,,,,,
Breel Embolo,19,2016-2017,22500000,,,,,,
Theo Walcott,28,2017-2018,22500000,,,,,,
Cenk Tosun,26,2017-2018,22500000,,,,,,
Marko Arnautovic,28,2017-2018,22300000,,,,,,
Matías Almeyda,28,2002-2003,22100000,,,,,,
Vincent Janssen,22,2016-2017,22100000,,,,,,
David Bentley,23,2008-2009,22000000,,,,,,
Yoann Gourcuff,24,2010-2011,22000000,,,,,,
James Milner,24,2010-2011,22000000,,,,,,
Bruno Alves,28,2010-2011,22000000,,,,,,
Ramires,23,2010-2011,22000000,,,,,,
André Schürrle,22,2013-2014,22000000,,,,,,
Kevin De Bruyne,22,2013-2014,22000000,,,,,,
Mario Mandzukic,28,2014-2015,22000000,,,,,,
Aymen Abdennour,26,2015-2016,22000000,,,,,,
Raúl Jiménez,24,2015-2016,22000000,,,,,,
Mario Götze,24,2016-2017,22000000,,,,,,
Antonio Candreva,29,2016-2017,22000000,,,,,,
Hakan Calhanoglu,23,2017-2018,22000000,,,,,,
Guido Carrillo,26,2017-2018,22000000,,,,,,
Ricardo Pereira,24,2018-2019,22000000,,,,,,
Diogo Dalot,19,2018-2019,22000000,,,,,,
Alex Meret,21,2018-2019,22000000,,,,,,
Marouane Fellaini,20,2008-2009,21760000,,,,,,
Sergio Agüero,18,2006-2007,21700000,,,,,,
Gerard López,21,2000-2001,21600000,,,,,,
Juan Sebastián Verón,28,2003-2004,21500000,,,,,,
Darren Bent,26,2010-2011,21500000,,,,,,
Luis Muriel,26,2017-2018,21500000,,,,,,
Manuel Akanji,22,2017-2018,21500000,,,,,,
Lucas,21,2000-2001,21300000,,,,,,
Pablo Aimar,21,2000-2001,21250000,,,,,,
Roque Santa Cruz,27,2009-2010,21200000,,,,,,
Geovanni,21,2001-2002,21000000,,,,,,
Marco Di Vaio,26,2002-2003,21000000,,,,,,
Sébastien Frey,23,2003-2004,21000000,,,,,,
Deco,26,2004-2005,21000000,,,,,,
Diego Forlán,28,2007-2008,21000000,,,,,,
Luka Modric,22,2008-2009,21000000,,,,,,
Yuri Zhirkov,25,2009-2010,21000000,,,,,,
Zlatan Ibrahimovic,30,2012-2013,21000000,,,,,,
Mario Mandzukic,29,2015-2016,21000000,,,,,,
Kingsley Coman,21,2017-2018,21000000,,,,,,
Pietro Pellegri,16,2017-2018,21000000,,,,,,
Wálter Samuel,22,2000-2001,20800000,,,,,,
Fernando Gago,20,2006-2007,20500000,,,,,,
Bosingwa,25,2008-2009,20500000,,,,,,
Glen Johnson,24,2009-2010,20500000,,,,,,
Chengdong Zhang,27,2016-2017,20440000,,,,,,
Andre Gray,26,2017-2018,20400000,,,,,,
Calum Chambers,19,2014-2015,20230000,,,,,,
Mauro Zárate,22,2009-2010,20200000,,,,,,
Javi García,25,2012-2013,20200000,,,,,,
Lucas Digne,25,2018-2019,20200000,,,,,,
Aleksandar Mitrovic,23,2018-2019,20200000,,,,,,
Shabani Nonda,23,2000-2001,20000000,,,,,,
Claude Makélélé,30,2003-2004,20000000,,,,,,
José Antonio Reyes,20,2003-2004,20000000,,,,,,
Paulo Ferreira,25,2004-2005,20000000,,,,,,
Djibril Cissé,22,2004-2005,20000000,,,,,,
Patrick Vieira,29,2005-2006,20000000,,,,,,
Júlio Baptista,23,2005-2006,20000000,,,,,,
Albert Luque,27,2005-2006,20000000,,,,,,
John Mikel Obi,19,2006-2007,20000000,,,,,,
Simão,27,2007-2008,20000000,,,,,,
Gabriel Milito,26,2007-2008,20000000,,,,,,
Lassana Diarra,23,2008-2009,20000000,,,,,,
Samuel Eto'o,28,2009-2010,20000000,,,,,,
Alberto Aquilani,25,2009-2010,20000000,,,,,,
Javier Mascherano,26,2010-2011,20000000,,,,,,
Carlos Eduardo,23,2010-2011,20000000,,,,,,
Mario Balotelli,22,2012-2013,20000000,,,,,,
Jesús Navas,27,2013-2014,20000000,,,,,,
Juan Cuadrado,25,2013-2014,20000000,,,,,,
Geoffrey Kondogbia,20,2013-2014,20000000,,,,,,
Mario Balotelli,24,2014-2015,20000000,,,,,,
Danny Welbeck,23,2014-2015,20000000,,,,,,
Filipe Luís,28,2014-2015,20000000,,,,,,
Jérémy Mathieu,30,2014-2015,20000000,,,,,,
Marcos Rojo,24,2014-2015,20000000,,,,,,
Álvaro Morata,21,2014-2015,20000000,,,,,,
Luciano Vietto,21,2015-2016,20000000,,,,,,
André Gomes,21,2015-2016,20000000,,,,,,
Andrea Bertolacci,24,2015-2016,20000000,,,,,,
Georginio Wijnaldum,24,2015-2016,20000000,,,,,,
Giannelli Imbula,22,2015-2016,20000000,,,,,,
Abdul Rahman Baba,21,2015-2016,20000000,,,,,,
Axel Witsel,27,2016-2017,20000000,,,,,,
Kevin Volland,23,2016-2017,20000000,,,,,,
Didier Ndong,22,2016-2017,20000000,,,,,,
Blaise Matuidi,30,2017-2018,20000000,,,,,,
Juan Cuadrado,29,2017-2018,20000000,,,,,,
Niklas Süle,21,2017-2018,20000000,,,,,,
Roberto Gagliardini,23,2017-2018,20000000,,,,,,
Kevin Kampl,26,2017-2018,20000000,,,,,,
Maximilian Philipp,23,2017-2018,20000000,,,,,,
Óliver Torres,22,2017-2018,20000000,,,,,,
Emerson,23,2017-2018,20000000,,,,,,
Nikola Maksimovic,25,2017-2018,20000000,,,,,,
Dalbert,23,2017-2018,20000000,,,,,,
William Carvalho,26,2018-2019,20000000,,,,,,
Rodri,22,2018-2019,20000000,,,,,,
Andriy Yarmolenko,28,2018-2019,20000000,,,,,,
Gerard Moreno,26,2018-2019,20000000,,,,,,
Nikola Kalinic,30,2018-2019,20000000,,,,,,
Thomas Delaney,26,2018-2019,20000000,,,,,,
Rolando Mandragora,21,2018-2019,20000000,,,,,,
Terence Kongolo,24,2018-2019,20000000,,,,,,
Willem Geubbels,16,2018-2019,20000000,,,,,,
Roy Makaay,28,2003-2004,19750000,,,,,,
Paulinho,24,2013-2014,19730000,,,,,,
Robbie Keane,19,2000-2001,19500000,,,,,,
Mirko Vucinic,23,2007-2008,19500000,,,,,,
Ahmed Musa,23,2016-2017,19500000,,,,,,
Kevin Wimmer,24,2017-2018,19400000,,,,,,
Phil Jones,19,2011-2012,19300000,,,,,,
José Mari,21,2000-2001,19000000,,,,,,
Adrian Mutu,24,2003-2004,19000000,,,,,,
Cristiano Ronaldo,18,2003-2004,19000000,,,,,,
Florent Malouda,27,2007-2008,19000000,,,,,,
Lucho González,28,2009-2010,19000000,,,,,,
Balázs Dzsudzsák,25,2011-2012,19000000,,,,,,
Alex Song,24,2012-2013,19000000,,,,,,
Santi Cazorla,27,2012-2013,19000000,,,,,,
Mousa Dembélé,25,2012-2013,19000000,,,,,,
Joe Allen,22,2012-2013,19000000,,,,,,
Aleksandr Kokorin,22,2013-2014,19000000,,,,,,
Mamadou Sakho,23,2013-2014,19000000,,,,,,
Aleksandr Kokorin,22,2013-2014,19000000,,,,,,
Thomas Vermaelen,28,2014-2015,19000000,,,,,,
Ivan Perisic,26,2015-2016,19000000,,,,,,
Mattia Caldara,22,2016-2017,19000000,,,,,,
Nabil Bentaleb,22,2017-2018,19000000,,,,,,
Alireza Jahanbakhsh,24,2018-2019,19000000,,,,,,
Duje Caleta-Car,21,2018-2019,19000000,,,,,,
Antonio Valencia,23,2009-2010,18900000,,,,,,
Kolo Touré,28,2009-2010,18700000,,,,,,
Sofiane Boufal,22,2016-2017,18700000,,,,,,
Andrea Ranocchia,22,2010-2011,18500000,,,,,,
Ciro Immobile,24,2014-2015,18500000,,,,,,
Aleksandar Mitrovic,20,2015-2016,18500000,,,,,,
Elkeson,26,2015-2016,18500000,,,,,,
Paulinho,18,2018-2019,18500000,,,,,,
Jonathan Zebina,21,2000-2001,18400000,,,,,,
Florian Thauvin,22,2015-2016,18350000,,,,,,
Jonathan Woodgate,24,2004-2005,18300000,,,,,,
Joaquín Correa,21,2016-2017,18200000,,,,,,
Émerson,24,2000-2001,18000000,,,,,,
Tore André Flo,27,2000-2001,18000000,,,,,,
Sergiy Rebrov,26,2000-2001,18000000,,,,,,
Andrea Pirlo,22,2001-2002,18000000,,,,,,
Sérgio Conceição,26,2001-2002,18000000,,,,,,
Robbie Keane,20,2001-2002,18000000,,,,,,
Cristian Chivu,22,2003-2004,18000000,,,,,,
Arjen Robben,20,2004-2005,18000000,,,,,,
Dirk Kuyt,26,2006-2007,18000000,,,,,,
Nicolas Anelka,28,2007-2008,18000000,,,,,,
Éver Banega,19,2007-2008,18000000,,,,,,
Manuel Fernandes,21,2007-2008,18000000,,,,,,
Nigel de Jong,24,2008-2009,18000000,,,,,,
Fabio Quagliarella,26,2009-2010,18000000,,,,,,
Michel Bastos,25,2009-2010,18000000,,,,,,
Mesut Özil,21,2010-2011,18000000,,,,,,
Giampaolo Pazzini,26,2010-2011,18000000,,,,,,
Robinho,26,2010-2011,18000000,,,,,,
Ashley Young,25,2011-2012,18000000,,,,,,
Gökhan Inler,27,2011-2012,18000000,,,,,,
Jordan Henderson,21,2011-2012,18000000,,,,,,
Kwadwo Asamoah,23,2012-2013,18000000,,,,,,
Lacina Traoré,22,2012-2013,18000000,,,,,,
Hernanes,28,2013-2014,18000000,,,,,,
José Salomón Rondón,24,2013-2014,18000000,,,,,,
Ivan Rakitic,26,2014-2015,18000000,,,,,,
